plz,note,distance_km,lat,lon
31787,"31787 Hameln",35.3,52.1214,9.3336
38116,"38116 Braunschweig",35.5,52.2804,10.4661
37589,"37589 Kalefeld",35.7,51.7815,10.0720
30938,"30938 Burgwedel",36.2,52.5351,9.8884
30855,"30855 Langenhagen",36.6,52.4672,9.7340
37640,"37640 Golmbach",36.7,51.8992,9.5405
38315,"38315 Schladen-Werla",37.5,52.0225,10.5673
30823,"30823 Garbsen-Mitte,Altgarbsen,Havelse,Auf der Horst,Blauer See",37.6,52.4156,9.5851
38112,"38112 Braunschweig",37.6,52.3090,10.4731
31867,"31867 Pohle, Lauenau, Messenkamp, Hülsede etc",37.9,52.2539,9.3685
38124,"38124 Braunschweig",38,52.2160,10.5276
38179,"38179 Schwülper",38.7,52.3463,10.4433
30827,"30827 Berenbostel, Stelingen",39,52.4443,9.6160
31785,"31785 Hameln",39.2,52.1055,9.3626
31840,"31840 Hessisch Oldendorf",39.4,52.1576,9.2767
37639,"37639 Bevern",39.5,51.8851,9.4772
38118,"38118 Braunschweig",39.5,52.2599,10.5010
38302,"38302 Wolfenbüttel",39.6,52.1915,10.5692
37539,"37539 Bad Grund",39.7,51.7920,10.1930
38530,"38530 Didderse",39.7,52.3828,10.4087
30669,"30669 Langenhagen (Flughafen)",39.9,52.4624,9.6866
37154,"37154 Northeim",39.9,51.7156,9.9975
38690,"38690 Goslar",40.1,51.9509,10.5459
38300,"38300 Wolfenbüttel",40.2,52.1513,10.5681
38114,"38114 Braunschweig",40.3,52.2821,10.5058
38678,"38678 Clausthal-Zellerfeld, Oberschulenberg",40.3,51.8115,10.3174
38642,"38642 Goslar",40.5,51.9270,10.4379
38640,"38640 Goslar",40.6,51.9078,10.4337
38543,"38543 Hillerse",40.7,52.4206,10.3985
38100,"38100 Braunschweig",41.2,52.2622,10.5235
31542,"31542 Bad Nenndorf",41.3,52.3414,9.3731
31868,"31868 Ottenstein",41.4,51.9509,9.3987
38102,"38102 Braunschweig",41.4,52.2582,10.5399
38709,"38709 Wildemann",41.4,51.8271,10.2836
30826,"30826 Heitlingen; Horst; Meyenfeld; Osterwald; Schloß Ricklingen",41.5,52.4583,9.5573
31552,"31552 Apelern, Rodenberg",41.5,52.2987,9.3424
38528,"38528 Adenbüttel",41.7,52.3894,10.4652
38536,"38536 Meinersen",41.8,52.4795,10.3340
30900,"30900 Wedemark",41.9,52.5637,9.6964
37520,"37520 Osterode am Harz",41.9,51.7449,10.3144
37647,"37647 Brevörde, Polle, Vahlbruch",41.9,51.8942,9.4077
38126,"38126 Braunschweig",41.9,52.2306,10.5756
38321,"38321 Denkte",42,52.1393,10.6026
29339,"29339 Wathlingen",42.2,52.5261,10.1432
38110,"38110 Braunschweig",42.2,52.3353,10.5858
38106,"38106 Braunschweig",42.3,52.2807,10.5356
29336,"29336 Nienhagen",42.7,52.5381,10.0996
38324,"38324 Kissenbrück",42.9,52.1148,10.5986
31515,"31515 Wunstorf",43.2,52.4314,9.4282
38104,"38104 Braunschweig",43.2,52.2744,10.5830
29356,"29356 Bröckel",43.5,52.5151,10.2109
38533,"38533 Vordorf",43.5,52.3731,10.5012
38108,"38108 Braunschweig",43.6,52.3027,10.5777
31555,"31555 Suthfeld",44,52.3632,9.4012
37603,"37603 Holzminden",44,51.8474,9.5152
31855,"31855 Aerzen",44.1,52.0594,9.2529
31559,"31559 Haste, Hohnhorst",44.4,52.3771,9.3629
29352,"29352 Adelheidsdorf",44.5,52.5630,10.0301
29364,"29364 Langlingen",44.6,52.5025,10.2580
38542,"38542 Leiferde",44.6,52.4450,10.4235
31749,"31749 Auetal",44.7,52.2433,9.2537
37649,"37649 Heinsen",44.7,51.8734,9.4253
